id,name
7109,同门成员详细
7110,同门成员排行
7111,同门排行奖励
7112,伤害奖励面板
7113,阵眼列表
7114,退出GVE战斗场景
8000,竞技场详细
8001,竞技场获取对手数据
8003,竞技场刷新cd
8004,竞技场重置次数
8005,竞技场排名
8006,竞技场历史战斗
8007,竞技场回放
8008,竞技场奖励
8009,开始竞技场战斗
8010,结束竞技场战斗
8100,无尽迷宫探索
8101,无尽迷宫已触发事件
8102,无尽迷宫宝箱领取
8103,无尽迷宫奖励池领取
8200,更换头像或者头像框
8300,使用物品
8400,在线packs
8401,在线礼包领取
8500,广播喇叭
9000,每日PVP首页
9001,每日PVP对手详情
9002,每日PVP开始战斗
9003,每日PVP结束战斗
9004,每日PVP购买次数
9005,每日PVP奖励列表
9006,每日PVP排行榜
9007,每日PVP战斗记录
9008,每日PVP战斗重播
9009,红包信息
9010,领取红包
9011,红包列表
9012,鼓舞
9013,每日PVP面板
9014,每日PVP报名
9015,每日PVP重生
9016,每日PVP结束面板
9100,引导奖励领取
9101,首败奖励领取
9200,道馆集训修炼
9300,通关奖励查看
9301,通关奖励领取
9400,购买水晶
9500,精灵置换信息
9501,精灵置换操作
9600,道具兑换信息
9601,道具兑换操作
9699,黄金城推图当前层数信息
9700,黄金城推图信息
9701,黄金城推图面板
9702,黄金城推图开始战斗
9703,黄金城推图结束战斗
9704,黄金城推图结束面板
9705,黄金城夺宝面板
9706,黄金城夺宝掉落事件
9707,黄金城夺宝结束事件
9708,黄金城开始战斗
9709,黄金城结束战斗
9710,黄金城宝藏领取
9711,黄金城夺宝结束面板
9800,月卡信息
9801,月卡领取
9900,训练家强化操作
10000,累计消耗活动信息
10001,累计消耗活动奖励领取
10100,累计登录活动信息
10101,累计登录活动奖励领取
10102,兑换神将活动的信息
10103,兑换神将
10104,刷新商店活动的物品
10105,刷新商店活动的信息
10106,领取刷新奖励
10107,植树节遥一摇
10108,种植
10109,浇水
10110,除虫
10111,收割
10112,清理
10113,检查状态
10120,赠送活动信息
10121,赠送
10122,赠送排行榜，简短版
10123,赠送排行榜，全量版
10200,爬塔列表
10201,爬塔宝箱信息
10202,爬塔重置
10203,爬塔战斗
10204,爬塔战斗结算
10205,爬塔历史
10206,爬塔历史重放
10207,爬塔打赏
10208,爬塔派驻
10209,爬塔派驻信息
10210,爬塔开宝箱
10211,爬塔扫荡
10130,鲜花BOSS活动信息
10131,鲜花BOSS战斗请求
10132,鲜花BOSS战斗结束
10133,鲜花BOSS战斗复活
10300,宝石合成
10301,宝石精炼
